"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Early-demographic dividend","EAR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","172.399453460229","183.502210699884","187.595611552094","191.238832984088","197.216559593256","210.940511451359","222.552822689612","235.116251526383","251.621329999082","300.025502105165","383.725357644644","462.685024573784","508.619112570343","522.224994145538","558.137822626539","648.676310464198","768.75566868234","868.383833623096","847.883493592361","788.352680667984","760.157869778297","760.072074748814","783.274524989528","817.873023370688","844.600051100876","811.836797780541","847.469629369462","888.258575625458","982.379829857809","1037.43469493734","1090.1855294329","1111.74714624293","1163.81329500478","1200.62125123405","1170.21086191346","1183.89332187948","1246.99065356761","1265.24641136748","1233.55223108044","1309.86367245425","1486.41560358971","1699.62179255536","1906.56167486501","2156.03290487584","2415.56481345381","2500.79889362533","2726.56139436359","2969.55218631045","3273.59313010003","3409.22276431975","3445.85323260915","3364.76532496913","3321.56297402209","3370.89284973452","3517.34219666617","3580.78076001178","3275.53803066484",
"East Asia & Pacific","EAS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","142.125053724008","155.480068926182","173.997310947654","192.689429108878","211.866363958682","222.809808477989","241.741490034138","275.278347250166","303.312770185388","332.225963641824","391.651772971248","497.626940260026","603.449719568499","704.353266783751","730.165387989216","790.076650168854","933.105438833775","1132.75165796387","1286.14863170434","1336.83504624999","1288.95214969969","1255.10058009187","1294.87342373464","1380.63762721569","1586.33886502399","1937.34012689354","2474.6955836379","2653.05033927779","2755.59534508696","2865.10230430579","3066.54279447726","3315.87858599975","3638.526431131","4100.85974241863","4309.30463495066","4181.63646873301","3663.20296294909","3626.34881411415","3835.22395712424","3921.04646502824","3877.17922144527","4059.77445490195","4567.57306332509","4999.73676455125","5288.87539573584","5662.83881924191","6174.18029210831","6525.16243341453","7340.11544878623","8140.24709358994","9106.47955427666","9707.44741840919","9939.39879388486","9827.60959381152","9900.30820355445","10245.0656986953","11094.8922215379","11706.2486723881","",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2557.33232955538","2409.72667743469","2305.4218773485","1974.77761225875","1933.54823212924","1925.84906783623","1994.81667505217","1841.23505542117","1707.88178343546","1793.77477441749","1713.13185342297","1871.52221122392","2210.85534147309","2908.2912486896","3749.02195957907","4648.2857469136","5775.79814780389","7072.85286887303","6982.98780950051","7468.53604438915","8099.64477350772","9288.13851779662","10244.2225030435","10163.246878768","8838.35440715681","7730.08397992212","7439.80112252612","7864.36241871683","8253.81079433712","7899.60502444636",
"Europe & Central Asia","ECS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","1753.33369375499","2221.14754266026","2708.85468120764","3118.6411917227","3295.2667323545","3514.73749216093","3969.79868532739","4908.38178020138","5879.48510694994","5911.82404652934","5414.14692861138","4839.71726809199","4659.75296301815","4645.07552357486","5319.02275188925","6730.34277487452","8627.06990474077","9218.2019291989","9905.67419968383","10583.7552005686","11658.2629401275","11463.8885896073","11605.5543124443","12039.4650793891","12750.8877586133","13002.1586955385","12611.2294310316","12484.5970633701","12564.7537671378","12157.4809958106","12079.2097496622","13649.0518323519","16590.6570147096","19233.0245348513","20845.5584237877","22564.0349426879","24573.5390918886","24339.9183773129","24541.7296915021","25010.1910077579","25326.1975861313","26024.403889965","26049.1873070052","24678.7705306125","23360.33668861","22838.2436158019","24383.7650812744","25212.5210325623","",
"Ecuador","ECU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","380","350","380","430","450","460","470","500","520","510","510","600","830","1090","1280","1360","1550","1820","2110","2460","2390","2110","1890","1820","1770","1640","1510","1360","1370","1480","1600","1670","1820","1970","2080","2180","2160","1780","1550","1550","1730","2110","2550","2880","3100","3310","3860","4060","4390","4870","5390","5810","6110","5970","5810","5860","6090","6100","5530",
"Egypt, Arab Rep.","EGY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","170","180","190","220","240","260","290","300","330","350","370","390","420","490","520","550","560","640","680","740","870","840","780","760","750","750","760","820","920","1020","1130","1210","1310","1420","1430","1330","1240","1200","1220","1320","1530","1840","2120","2370","2560","2840","3030","3230","3340","3440","3030","2790","2690","3000",
"Euro area","EMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1092.009738701","1197.10570364798","1318.72159307095","1455.63378682543","1595.91484208068","1732.62008007821","1887.45045394973","2080.46424496394","2278.25381638625","2500.21117334565","2899.30109967134","3723.54472567571","4622.85679553436","5329.98278439962","5651.68143946126","6070.79063116696","6892.04120510781","8548.63039109783","10265.5727752591","10165.6240762706","9204.01967231275","8203.93853034251","7974.38379286376","7987.36769342725","9230.39418300835","11815.9018312692","15367.310776024","16472.7114062384","17758.0661803151","18997.1101226789","21316.8777374899","20989.7261651847","21526.0150218939","22654.761962743","23912.5002101367","23862.2699107348","22816.5283788086","22410.5028787311","22188.16621606","21264.8341139394","20722.7082975306","23314.3792169504","28299.4728508681","32412.5027052125","34555.7626454772","36717.4017471691","39536.3228522666","39640.3789285987","39768.4608391389","40296.8203646697","39267.8527162232","39467.1288267021","39351.6699461197","37713.6751312634","36323.4226385284","35822.3688529434","38751.8795238955","40064.3931967252","",
"Eritrea","ERI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270","270","300","320","330","310","300","310","300","300","340","390","410","420","410","480","510","600","","","","","","","","","",
"Spain","ESP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","500","570","640","730","840","930","1010","1110","1170","1310","1590","2090","2730","3240","3430","3640","4040","5010","6210","6310","5680","4860","4580","4550","5400","7110","9410","10700","12210","13700","15610","15010","14470","14830","15560","15820","15440","15480","15770","15520","15590","18030","22070","25870","27820","29740","32190","32460","31880","30950","29520","29210","29130","28430","27530","27070","29320","30330","",
"Estonia","EST","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160","4310","4620","5730","7500","9730","11500","13420","15200","14620","14700","15990","16890","18250","18990","18680","18410","18820","21320","23230","",
"Ethiopia","ETH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","210","200","190","230","280","270","260","260","250","220","210","160","150","150","140","130","120","130","130","120","110","140","160","180","220","280","340","380","390","410","470","550","600","670","740","800","850","890",
"European Union","EUU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","2412.76431697491","3093.0249305222","3832.02112992076","4423.48739150406","4689.77682409788","5030.16468979729","5700.17972342168","7048.86502171055","8435.439396723","8347.71778209328","7550.47032951267","6717.36054828455","6522.95542116672","6533.1171562345","7555.24313479221","9658.92132301223","12519.337504787","13414.1282567938","14446.5286090129","15443.4819678781","17322.2336196123","17057.1530217377","17532.3505440891","18513.7754559007","19633.0273201739","19673.7714496472","18888.4689553973","18607.306416234","18511.1679874245","17816.3872176032","17479.3972591667","19733.0637050733","23994.0980525545","27606.4331121546","29604.1138559838","31658.7539122251","34397.8189644123","34521.629859109","34714.9486033102","35193.9932272996","34503.8321646053","34820.0098849453","34788.7006495981","33399.3138139036","32170.7155147656","31812.5615269807","34495.0360141035","35805.9375852559","",
"Fragile and conflict affected situations","FCS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","826.130165080752","913.406451025537","966.613958520384","956.835014708217","857.506219967673","824.154513110327","812.157713388086","830.941201449951","842.72999225431","741.027782194364","896.954567118206","534.928091471265","534.742334415821","483.334654249123","445.386429815307","460.881015334556","495.240255038052","549.723618039831","554.663490226958","582.271619729521","630.758094943032","683.272813585402","671.506259722478","650.678473351419","777.816542190959","907.310627356097","1095.24445523288","1315.78699693727","1614.2917194653","1758.5986438956","1916.19002762867","1892.99824024218","2150.65266132491","2250.28072729348","2341.15524162036","2198.04340090458","2002.72276577182","1851.78806256474","1857.17209678389","1939.80590364381","1803.25614039292",
"Finland","FIN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1370","1470","1620","1810","1970","2060","2090","2270","2460","2690","3170","4030","5130","6320","6840","7190","7910","9540","11450","11980","11700","10840","10790","11130","13010","16480","21540","24110","26000","25100","24170","20680","20170","22030","24970","26680","25820","26040","26450","25810","25550","28720","35270","40170","42800","46160","50070","48800","49600","50150","48940","49480","49390","47150","45500","44790","48230","49960","49620",
"Fiji","FJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","290","300","290","300","340","350","350","400","440","530","720","930","1120","1220","1300","1360","1660","1870","2040","1800","1580","1660","1580","1790","1770","1790","1790","1790","1790","1990","2090","2230","2460","2660","2580","2290","2350","2230","2140","2160","2410","3020","3570","3590","3790","3980","3850","3650","3770","4140","4710","5020","5100","5280","5370","5910","5800","4720",
"France","FRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1700","1870","2030","2200","2360","2560","2820","3020","3250","3670","4690","5790","6720","7140","7810","8830","10820","13080","13190","12040","10450","9820","9770","11330","14460","18520","19490","20640","21420","23840","23580","24380","25740","27110","26930","25830","25420","24970","23840","23090","25930","31360","35870","37850","40130","43460","43930","43850","44350","43380","43780","43320","41100","39070","38270","41080","42290","",
"Faroe Islands","FRO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2120","2130","2200","2140","1930","1950","2050","2210","2260","2270","2380","2440","2560","2560","2570","2590","2820","2900","3070","3150","3180","3150","3490","3410","3450","3400","4010","",
"Gabon","GAB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","410","340","360","420","440","460","530","570","610","690","910","1700","2870","4450","4010","3090","3520","4590","5290","4840","4260","4310","3860","3840","3430","4150","4580","4820","5170","5120","4430","4130","3910","4100","4270","3940","3280","3100","3430","3610","3880","4310","5520","5740","6590","7320","7590","7850","8120","9090","9330","9330","7970","7080","6510","6830","7170","6970",
"United Kingdom","GBR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","2480","2760","3200","3900","4360","4870","5010","5220","5930","7560","9530","10640","10630","9840","9250","9140","10220","12680","16130","17350","18530","19350","21440","21320","21850","21080","22790","25480","26920","28140","29230","28970","29180","32250","37770","42740","45060","47500","48470","44230","41740","41060","41690","42730","44400","44340","42940","41280","41740","42130","",
"Georgia","GEO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2260","1610","760","550","670","820","870","840","790","780","840","990","1210","1520","1910","2380","2820","2950","3210","3520","4150","4530","4740","4410","4080","4040","4460","4690","4290",
"Ghana","GHA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","190","200","210","230","250","240","220","220","250","270","260","280","320","300","290","300","350","380","420","410","360","320","340","350","390","420","440","400","400","410","430","420","370","370","380","390","390","390","340","300","270","320","380","460","600","790","1150","1190","1240","1380","1530","1840","1960","1950","1790","1870","2120","2210","2230",
"Gibraltar","GIB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","390","410","420","460","490","500","500","510","510","470","450","400","360","350","340","370","360","400","470","620","670","690","680","700","700","740","760","780","820","860","950","1020",
"Gambia, The","GMB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","110","110","110","110","120","150","180","230","230","240","260","310","380","390","340","300","290","300","300","320","300","300","310","400","520","710","690","690","700","690","660","640","620","560","440","390","470","520","640","700","810","880","890","760","760","730","650","620","620","660","720","750","750",
"Guinea-Bissau","GNB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","120","130","150","170","150","140","160","180","150","190","200","190","190","200","160","170","180","210","220","240","240","230","220","220","240","240","160","160","210","250","300","330","380","430","440","470","510","560","580","640","630","640","640","640","650","680","720","800","760",
"Equatorial Guinea","GNQ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","130","130","130","150","170","210","250","230","260","270","380","370","270","250","360","870","700","820","770","900","1270","1190","1720","3890","8110","11600","14250","12530","9970","11540","13870","14030","13230","10850","8270","6510","6730","6280","5810",
"Greece","GRC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","620","700","790","900","1000","1090","1200","1370","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24550","26350","28660","29330","27530","24510","23170","22370","22000","20140","18590","17940","19050","19690","",
"Grenada","GRD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1150","1300","1310","1300","1280","1340","1500","1790","2200","2490","2670","2840","3040","3140","3120","3210","3310","3500","3660","3990","4310","4610","4510","4650","5290","5350","6650","6430","6830","7260","6720","6940","7060","7030","7350","7520","7750","8350","8740","9560","9830","8740",
"Greenland","GRL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","1890","2440","3130","3800","4330","5140","6160","7550","9270","9100","8020","7270","6740","7060","8540","11470","15170","16970","15690","16510","17440","16600","17830","19470","20780","20540","20440","19740","20290","19390","18760","20440","25730","30920","30240","34800","","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","260","280","280","290","290","290","310","330","350","360","390","450","540","610","690","800","920","1080","1210","1240","1170","1110","1130","1160","1070","1020","980","980","930","970","1030","1140","1230","1360","1440","1530","1610","1650","1670","1600","1600","1670","1850","2000","2150","2370","2610","2650","2730","2910","3160","3380","3550","3700","3870","4100","4400","4610","4490",
"Guam","GUM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","250","280","310","320","340","330","350","360","380","390","430","540","680","660","610","620","670","760","740","590","510","470","500","520","460","470","360","400","330","390","460","570","670","830","890","880","860","890","880","890","940","1030","1090","1470","2280","3850","4190","4510","4820","5290","5540","5570","5470","5600","5910","6290","6630","6600",
"High income","HIC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1530.85423519867","1622.96452347068","1744.75060644305","1890.7565451829","2059.7899525006","2189.56699415335","2397.29281566092","2608.71509022216","2762.0561888506","3014.08026050289","3457.16574416036","4226.63421106906","4935.79037731529","5517.385228951","5852.96577749925","6283.58452752779","7179.86041812096","8620.62746267847","9962.71736508656","10367.21047548","9868.3427303009","9459.04878724569","9810.05397265441","10264.5710205937","11587.390807906","13899.5094268506","16926.5733802541","17824.3209468886","18633.8151949033","19381.0209529133","21080.2574296577","21589.156128669","22714.6042311681","24225.7686312387","25406.4131146824","25539.3270371518","24576.7836539643","24861.4539197649","25892.0884222592","25874.0297004667","25699.8051048639","27682.0069950372","31569.1204775739","34758.476091671","36477.5336403949","37896.4480621443","39472.2018326915","38789.5616646716","39849.0708026036","41200.4005158748","42567.0919913924","43378.6509461545","43563.5971998709","42331.980490393","41425.9381163902","41731.2444445109","44563.989049863","46036.0466787998","",
"Hong Kong SAR, China","HKG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","570","630","700","710","710","740","840","930","1060","1300","1750","2150","2450","2900","3340","3930","4700","5730","6360","6290","5890","6170","6090","7230","9080","10770","11550","12660","14320","16560","19560","21820","23570","24140","26080","25110","25800","26930","26350","25270","26340","28120","28890","30290","32070","33950","32350","33620","35690","36340","38570","40240","41180","42970","46390","50060","50480","48630",
"Honduras","HND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","180","180","190","210","220","230","250","250","260","270","280","320","360","380","410","460","610","830","1090","1090","1020","1000","1080","1160","1260","1410","1410","1270","1110","940","930","950","880","900","870","910","910","930","1020","1050","1070","1130","1210","1290","1360","1490","1630","1670","1740","1880","1970","2010","2010","2060","2120","2250","2330","2390","2200",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","248.326331021342","262.474650852351","290.402258804165","333.837523917065","372.033943181921","390.503690686199","365.494859767479","323.609230376848","310.384634279966","312.261350427885","351.527833637714","411.733396607439","434.27258475666","411.362984201773","382.854631099138","365.61145622749","356.88788904191","343.120093925237","307.06787443964","311.499043214878","318.073267531603","327.974463966097","323.471593593771","325.207282057056","327.830910263619","325.060520956996","329.505989441616","351.160774561655","402.108019252492","453.220333559892","497.51073423441","562.028131731047","659.519039335661","719.854904253285","768.980918155933","797.417548916997","845.906096717496","892.831575634143","937.425539066706","931.790280767663","910.66768360952","906.986436411835","950.66085355974","979.499240026037","956.34667530005",
"Croatia","HRV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5520","5430","5180","5210","5290","5600","6670","8520","10150","11310","12670","14250","14110","14090","14040","13440","13580","13260","12970","12380","12680","14080","14990","14190",
"Haiti","HTI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","250","250","250","240","260","280","320","340","380","370","420","450","390","310","260","310","360","390","400","450","550","640","730","670","660","700","780","890","990","1140","1120","1230","1300","1370","1410","1390","1330","1310","1360","1330","1250",
"Hungary","HUN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3660","4030","4250","4370","4400","4410","4490","4620","4790","5290","6630","8640","10360","11230","11750","13230","13380","13260","13250","13060","13500","13560","13250","13100","13190","15010","16530","",
"IBRD only","IBD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","198.795244570473","198.565403202715","203.762301816129","221.425001490692","238.857101118197","253.385847424303","274.373767248014","332.505909584305","411.236125644655","482.623299361179","503.385231743316","524.895693504346","567.236727349341","653.142872145727","751.170487931118","807.424124878428","793.509588442608","741.383507763881","735.316657706852","754.007105148777","796.866433975908","858.514238490608","906.621440364366","917.481963896248","967.374867380374","1007.2161864237","1060.2842389026","1100.2929669623","1139.4562577168","1222.17008989606","1337.84435053276","1426.29043190445","1383.48998948624","1361.31796139248","1413.82947638118","1424.73843948039","1443.01309432047","1566.62635447015","1824.5835293602","2130.62138211609","2479.62319565107","2947.56049467617","3485.18100885774","3749.49805728101","4189.26441781685","4666.11159865115","5288.95123641103","5722.0740963001","5911.38720873202","5762.3586294885","5656.25863343307","5781.04070340985","6205.17483885622","6541.96573795468","6291.64723161694",
"IDA & IBRD total","IBT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","182.902079186515","183.059654317626","188.124834643491","204.375067230845","221.313908527855","234.538012428629","253.499287183166","303.657345844116","376.58220721716","442.260330879444","463.788378858","483.231330933567","521.06556418966","599.555926423862","690.052567587857","745.865686811542","739.685246203544","697.069680630414","680.767797800363","691.561769205224","724.831807562078","778.074803753721","819.082250719994","820.963177278612","858.197833965568","886.78921693474","928.551438008512","954.076535670434","979.294461078312","1045.03437954145","1139.53288920752","1210.85025862973","1174.20995309379","1155.21675165469","1196.55530665596","1205.38966380724","1220.8200622867","1321.65760288941","1535.51764449739","1785.72574198143","2070.55046044007","2448.2447990653","2886.12483764301","3098.58418316462","3444.45611532777","3813.62049325267","4303.38484072765","4644.96258493107","4795.94715579042","4672.29768455469","4573.24653865483","4651.37139161099","4967.5876835521","5213.99763468351","5004.54120385028",
"IDA total","IDA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","122.332787736192","137.599315850576","144.673216465748","154.014474718334","164.75135705882","210.100981509097","249.28000794508","275.036567849371","286.197089752802","304.729611813722","350.594120046462","408.307370256978","463.986316016549","494.25744435925","496.023955730831","438.04352977696","417.647870453274","412.766225091912","433.04703950926","447.288842553196","416.663520299342","406.023890038541","395.127979921218","395.64871572388","367.987432482724","343.746685385785","350.236900833903","370.74049118742","385.41258302302","382.358726270174","385.212403644627","394.891538952416","406.970206723099","422.950232572099","453.330398574647","524.256061222576","594.524225869375","676.033655278234","767.997143632363","896.946178197752","966.287101080642","1035.05167031416","1088.02406128178","1190.05957514588","1284.93524798376","1361.97993316307","1360.72683975454","1325.78652450696","1307.36884511703","1353.23299430808","1390.20127196963","1354.13005352944",
"IDA blend","IDB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","104.731447200632","111.717706162618","115.878503974785","122.33210307016","127.37316684989","126.706641868163","134.206779401756","150.922360461613","180.018530595444","190.374151898308","201.623959295886","208.743795144469","268.4617780773","307.352032265941","358.356854818731","387.798085947312","414.480917048456","479.690096277168","562.851861388933","676.052691769909","783.483876638744","835.484574997384","699.737429992295","637.516646291754","582.899859161274","572.349345853794","584.012586130166","533.814816695186","524.771858929796","507.233944522207","512.087504495909","456.62900018334","434.249004692074","442.078435225859","479.456344643557","499.03170099097","486.646190379011","489.826190580702","502.512305197572","527.23994351506","561.202291341912","605.335986054726","714.931213545636","824.144236203465","981.182898817637","1123.75075080229","1314.21997218723","1379.89211342513","1454.42044022945","1526.76927119237","1704.83449529585","1860.13153791799","1992.73363938201","1964.8490310706","1843.60004672788","1737.07585387244","1730.88640274311","1725.18709256666","1654.49663460907",
"Indonesia","IDN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","70","80","80","90","110","160","220","270","300","360","400","470","530","560","530","520","500","520","510","510","530","560","610","660","740","850","990","1090","1100","660","570","580","720","790","900","1080","1220","1380","1600","1940","2150","2530","3010","3580","3730","3620","3430","3400","3530","3840","4050","3870",
"IDA only","IDX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","306.238559167708","293.041442330203","296.619625889816","321.167204746368","359.933857090413","375.769724219229","355.893141428474","343.973438307664","336.738949216162","334.821574668892","323.069487949214","297.393839653435","303.243079711845","314.731479343207","326.808779397587","328.73387691884","331.403726323525","339.52682233013","344.880910841203","351.48125989124","374.814968641253","425.703827891919","475.841978467872","518.096879556386","583.746172497411","680.515951438939","753.139866669095","819.311369093694","862.741226609375","923.987670247643","986.420794232602","1033.37762646654","1046.35865524718","1058.55400863437","1088.71688277529","1164.21946177831","1226.23535896286","1209.29420301791",
"Isle of Man","IMN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17050","18800","21310","21880","22480","23780","27790","34170","39600","44420","47220","42870","45990","71570","74390","82210","87840","89000","83990","78860","77890","83160","","",
"India","IND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","90","100","110","110","110","110","100","110","120","120","120","140","170","190","180","190","210","220","270","290","290","280","280","290","310","350","390","390","380","350","340","320","340","370","400","410","410","440","440","450","460","520","610","710","790","910","1000","1120","1220","1360","1480","1520","1560","1600","1680","1820","2010","2120","1900",
"Not classified","INX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","2070","2540","2990","3390","3280","3580","4120","5120","6380","6780","6390","5720","5610","5630","6370","8220","10420","11100","12560","13130","14440","14600","15480","16920","18880","20660","21430","22660","24080","24030","24840","29890","37700","44550","47890","50500","50900","46750","44820","41950","40600","43430","46360","50390","51860","53750","60450","63470","",
"Iran, Islamic Rep.","IRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","210","210","220","250","270","290","320","360","390","450","540","730","1090","1460","1980","2060","2000","2240","2050","2320","3070","3260","3070","3420","3600","3470","2970","2530","2540","","","","","1290","1600","1790","1780","1740","1760","1790","1880","2200","2520","2960","3480","4270","4970","5560","6250","6870","7130","6990","6500","5370","5500","5420","4530","3640","2870",
"Iraq","IRQ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","3910","3420","3010","2350","2540","2760","3060","3540","3730","3730","7070","70","50","40","60","130","390","750","920","1290","1600","1730","1420","850","1370","1430","1820","2400","3550","4160","4580","4960","6310","7050","6750","5800","5340","4670","4840","5490","4660",
"Iceland","ISL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1540","1740","2050","2440","2980","3110","2790","2490","","","","","","","","","","","","","","","","","","","","","","","","","","","","28480","29270","30400","31540","30700","30930","33710","42020","50520","53450","61880","50060","41860","36270","37610","40690","46960","48090","49940","54910","60230","67760","72930","",
"Israel","ISR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1320","1330","1310","1440","1470","1480","1730","1910","","","","","","","","","","","","","","","","","","","","","","","","","","","","18930","18780","18450","19200","19270","18600","18700","19960","21440","22330","23960","26140","27280","29670","31450","32220","34320","36020","36060","36340","37580","40840","43070","",
"Italy","ITA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","960","1060","1160","1280","1410","1550","1700","1850","2060","2250","2620","3250","3930","4320","4510","4730","5270","6740","8430","8710","8220","7630","7760","8030","9380","12160","15950","17300","18660","20370","22960","21590","20860","20670","21830","22300","22220","21990","21890","21170","20710","23350","28270","32430","34250","35900","37910","37870","37850","37900","36200","35550","34890","32980","31950","31340","33810","34830","32200",
"Jamaica","JAM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","620","650","720","760","980","1020","1180","1370","1370","1450","1430","1300","1210","1290","1340","1330","1130","930","950","1170","1480","1690","1770","1740","1610","1840","1880","2290","2520","2760","2890","3120","3240","3240","3250","3440","3650","3800","4090","4320","4570","4330","4390","4590","4980","5010","4910","4700","4600","4750","5010","5260","4620",
"Jordan","JOR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","1160","1540","1810","2040","1980","1750","1730","1670","1870","2100","2160","1560","1270","1090","1240","1280","1340","1420","1430","1450","1480","1530","1670","1740","1780","1900","2160","2340","2510","2730","3110","3380","3520","3620","3720","3830","3920","3950","4000","4080","4270","4410","4310",
