"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Botswana","BWA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","90","90","100","100","120","140","160","200","260","350","440","520","540","580","690","890","1110","1340","1290","1170","1090","1070","1150","1340","1980","2320","2720","3070","3270","3330","2960","3260","3180","3330","3210","3150","3170","3260","2930","3370","3920","4930","5440","5730","5740","5330","5610","6610","7250","7570","7520","6840","6560","6690","7340","7660","6640",
"Central African Republic","CAF","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","90","90","100","100","110","110","110","120","140","170","190","210","240","280","310","360","350","340","270","270","290","340","420","490","490","480","480","470","450","370","350","300","300","280","280","260","260","250","260","300","340","350","380","420","480","510","530","570","380","390","400","410","440","490","520","510",
"Canada","CAN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21210","22620","23030","23610","25860","29900","34810","38510","43090","45650","43230","44490","47190","51080","52800","52200","47590","43890","42900","44950","46460","43440",
"Central Europe and the Baltics","CEB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2239.25333474314","2441.10777209449","2716.95223606838","3173.10650419679","3625.58606158987","3823.55080915215","3863.99841715494","3909.49429838886","4086.833227808","4167.25219188386","4426.4511379399","5184.94294423035","6375.71303483343","7734.90971565374","8864.8680141249","10303.3007515851","12400.743697242","12756.6766596231","12802.0162295097","12934.8103043293","13076.9623521249","13425.2637725386","13563.7591352503","13249.0479040626","12858.3237693381","13079.2372124256","14648.5548735721","15887.150345549","",
"Switzerland","CHE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46740","49730","49340","46200","44280","44680","42110","40760","46780","55200","63080","65590","64480","65260","72470","79850","82280","87770","91700","89400","88750","85190","81520","85030","87950","",
"Channel Islands","CHI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42510","41460","40720","43340","50340","56280","60750","66220","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","580","630","670","670","750","760","780","830","880","1060","1150","1360","1650","1150","1010","1060","1360","1790","2300","2780","2280","1820","1590","1430","1470","1660","1930","2200","2350","2600","3120","3440","3730","4420","5070","5590","5490","5120","5060","4800","4540","4510","5190","6210","7340","8690","10050","9950","10750","12340","14350","15160","14940","14130","13370","13270","14550","14990","13470",
"China","CHN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","90","100","110","100","90","110","120","130","130","160","180","200","190","190","200","210","220","220","220","220","250","290","310","320","330","320","330","350","390","420","470","540","650","750","800","860","940","1010","1110","1280","1510","1760","2060","2510","3100","3680","4340","5050","5930","6770","7510","7940","8270","8740","9600","10390","10610",
"Cote d'Ivoire","CIV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","160","180","220","210","230","240","270","280","300","300","320","380","480","600","680","780","950","1130","1160","1130","960","720","660","640","730","810","910","830","780","760","780","750","680","700","720","760","760","730","650","590","570","620","770","930","930","970","1070","1160","1190","1130","1230","1330","1450","1660","1840","2030","2180","2290","2280",
"Cameroon","CMR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","110","130","160","160","170","190","220","280","360","340","340","520","640","640","800","780","700","720","780","950","1110","1180","1080","970","900","930","920","800","770","690","710","690","680","660","630","630","730","910","1010","1060","1110","1240","1320","1330","1350","1370","1430","1490","1440","1380","1340","1450","1500","1500",
"Congo, Dem. Rep.","COD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","150","130","120","120","110","130","140","190","170","190","200","230","260","290","300","320","340","380","410","440","460","470","460","500","530","550",
"Congo, Rep.","COG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","150","150","160","170","180","190","200","220","220","230","270","340","420","500","480","450","490","610","830","1090","1220","1080","1060","990","980","1050","930","940","930","960","1060","910","760","480","470","590","580","490","570","630","670","700","770","1120","1600","1700","2140","2480","2750","2710","3500","3740","3990","3090","2210","1700","1790","1810","1830",
"Colombia","COL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","280","310","310","320","300","300","320","330","360","390","460","550","590","620","690","850","1060","1250","1350","1330","1280","1280","1210","1220","1240","1300","1250","1330","1380","1560","1740","2050","2350","2540","2660","2570","2330","2340","2330","2370","2370","2620","3000","3500","4130","4710","5130","5620","6310","7290","7950","8200","7330","6460","5930","6260","6580","5780",
"Comoros","COM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","660","590","550","550","620","780","960","930","980","950","1100","1080","870","850","780","790","730","700","730","700","680","790","950","1090","1130","1170","1290","1370","1380","1410","1420","1490","1490","1380","1320","1280","1380","1400","1450",
"Cabo Verde","CPV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","510","470","450","450","510","650","840","900","900","910","1040","1190","1300","1410","1350","1350","1330","1370","1410","1350","1300","1520","1900","2160","2300","2820","3300","3480","3400","3510","3440","3490","3360","3210","3130","3080","3400","3630","3060",
"Costa Rica","CRI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","360","350","350","370","390","410","440","470","520","570","630","760","880","970","1050","1250","1480","1740","1950","1420","1020","940","1110","1240","1440","1600","1650","1660","1750","1950","2350","2740","2980","3180","3240","3350","3400","3460","3570","3670","3770","4030","4380","4640","5060","5680","6410","6540","7260","8090","9280","9930","10350","10700","11100","11500","11930","12070","11460",
"Caribbean small states","CSS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","671.692755911143","702.957367765413","754.935895652583","798.205342512049","947.576375125512","1050.8016751346","1240.55732393173","1570.19607529265","1596.12336211532","1719.48347259253","1887.03114778504","2064.51091423351","2384.32083062257","2651.68513685507","2820.76003031066","2679.34423947671","2633.1838695226","2592.95411595946","2515.31843405044","2578.24055709903","2792.43117324061","2831.5151828853","2826.29491936801","2821.47263792657","2918.54573070159","2966.88653240542","3004.06445225463","3367.71429679344","3666.17353982899","3832.51783730952","4026.49810452236","4537.97734014499","4872.03503371205","4988.22191098741","5191.96196250073","5659.25735120193","6289.95019048317","6845.1489152655","7585.71626705638","8297.03857751616","9201.63860343374","8842.09471917579","8956.43290337936","8807.15567203338","9505.54523254275","9923.54568676652","9860.88928109752","9838.146350396","9365.87902655107","9345.09865335838","9647.73520138614","10059.2249651329","8943.60306484066",
"Cuba","CUB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","850","1040","1240","1500","1550","1600","1790","1990","2140","2430","2340","2180","2310","2310","2390","2490","2780","2750","2650","2340","2130","1870","2140","2550","2710","2500","2240","2400","2620","2760","2820","3100","3490","3960","4530","5000","5460","5520","5610","5930","6280","6640","6840","7230","7480","","","","",
"Curacao","CUW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19930","19820","19620","19100","19100","20100","20370","",
"Cayman Islands","CYM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70220","71050","49570","44030","42930","44380","45880","52840","59380","68200","",
"Cyprus","CYP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","1520","1800","2400","3390","4050","4490","4220","4360","4480","5020","6300","7910","8570","9300","9460","11020","10970","11680","12810","13880","14280","15490","14340","14180","14170","14510","16710","20260","23990","25600","27340","31970","32780","32040","32550","29680","27830","26530","25980","24710","24710","26990","27930","26110",
"Czech Republic","CZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3360","3500","4170","5150","5980","6160","6110","6110","6340","6350","6650","8110","10260","12480","14000","15850","18510","18840","19400","19460","19440","19410","18900","18370","17670","18310","20520","21930","",
"Germany","DEU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","3600","4670","5800","6720","7130","7670","8870","11050","13010","12540","11120","10020","9880","9840","11240","14240","18620","19760","21300","22890","25810","25990","27530","29520","30860","30140","27950","26840","26150","24740","23610","26080","31570","35710","38230","40440","43570","43520","44550","47220","46530","47190","47620","45750","44250","43650","47140","48550","46980",
"Djibouti","DJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2730","2870","2990","3260","3310","3320",
"Dominica","DMA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","710","960","1160","1210","1220","1330","1480","1790","2170","2560","2600","2810","2960","3200","3410","3490","3720","3890","4010","4200","4200","4220","4470","4270","4680","4950","5050","5490","5760","6340","6520","6730","6920","6730","6780","7020","6910","7270","7250","7680","7870","6870",
"Denmark","DNK","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","2870","3140","3310","3670","4310","5580","6800","8080","8960","9780","11170","13560","15090","14180","12860","11710","11520","11840","14070","17760","22130","23050","24370","25540","28700","28570","30360","32560","34770","35150","33460","33060","32580","31410","30850","34750","42640","49610","53540","55740","60390","60090","61220","61990","61650","63200","63670","60510","58040","56690","61340","64000","62720",
"Dominican Republic","DOM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","220","240","260","230","250","250","250","280","340","370","430","520","610","710","780","830","900","1030","1140","1210","1240","1240","1300","1100","1030","940","920","910","870","1040","1360","1620","1750","1960","2170","2360","2450","2540","2680","2740","2890","2640","2560","3040","3640","4430","4760","4920","5330","5540","5790","6030","6330","6580","6860","7090","7780","8100","7260",
"Algeria","DZA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","190","230","240","250","230","250","280","310","330","320","440","530","710","910","1060","1100","1320","1640","1990","2200","2260","2190","2270","2400","2590","2810","2750","2550","2370","1980","1900","1730","1620","1550","1520","1510","1540","1530","1590","1670","1730","1920","2250","2710","3100","3600","4220","4290","4480","4600","5170","5510","5490","4850","4370","3940","3980","4010","3550",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","71.2529987550003","77.5115063478377","86.1693755268951","97.6330720303969","105.634849974536","99.6335749979688","96.4648411769473","108.089198923556","121.06974101918","124.478788717286","131.454695990868","158.72022218915","185.776841076444","216.148781865684","211.38354939897","224.815773446786","238.498321349648","263.329366403268","291.075215443087","307.951725061674","307.50622165737","303.49481522973","321.631170705358","344.109252927096","365.448911901111","381.728562072686","401.244285620971","403.021489504919","418.445237403315","448.538422617226","498.077985146028","541.014312373488","607.376017977331","698.684105000566","813.229782906122","881.409677508893","827.613777486742","851.738290573901","910.16955538115","982.041409727044","1063.61865891453","1209.26763319374","1422.94437281612","1635.88206288229","1893.47318460071","2273.35159726697","2770.97394070662","3216.59164278512","3760.0840230829","4342.4807549826","5073.02754493127","5705.13048694911","6207.83416480137","6469.3677386262","6678.10601353715","7016.61021623743","7687.63782821238","8284.11965384446","8362.3829930017",
